UniProtKB	Q14728	MFSD10		GO:0015904	PMID:8353488	TAS		P	Major facilitator superfamily domain-containing protein 10	MFS10_HUMAN|MFSD10|TETRAN	protein	taxon:9606	20120317	GOC
UniProtKB	D6RJA3	PCSK1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000015185	IEA	Ensembl:ENSRNOP00000015185	P	Proprotein convertase subtilisin/kexin type 1	D6RJA3_HUMAN|PCSK1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RFM0	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RFM0_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RFM4	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RFM4_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RFM6	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RFM6_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RFS5	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RFS5_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RG95	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Enolase 3 (beta, muscle)	E5RG95_HUMAN|ENO3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGE1	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	E5RGE1_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGF0	GGH		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000009758	IEA	Ensembl:ENSRNOP00000009758	P	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	E5RGF0_HUMAN|GGH	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGM6	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RGM6_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGN7	NBN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012377	IEA	Ensembl:ENSRNOP00000012377	P	Nibrin	E5RGN7_HUMAN|NBN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGR7	NBN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012377	IEA	Ensembl:ENSRNOP00000012377	P	Nibrin	E5RGR7_HUMAN|NBN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGT0	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RGT0_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGW5	IKBKB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025851	IEA	Ensembl:ENSRNOP00000025851	P	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	E5RGW5_HUMAN|IKBKB	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RGZ4	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Enolase	E5RGZ4_HUMAN|ENO3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RH71	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RH71_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RHF7	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RHF7_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RHL2	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	PTK2B protein tyrosine kinase 2 beta	E5RHL2_HUMAN|PTK2B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RHN7	LPL		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016543	IEA	Ensembl:ENSRNOP00000016543	P	Lipoprotein lipase	E5RHN7_HUMAN|LPL	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RHN9	RAD54B		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000066977	IEA	Ensembl:ENSMUSP00000066977	P	RAD54 homolog B (S. cerevisiae)	E5RHN9_HUMAN|RAD54B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RHX7	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RHX7_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RI09	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Enolase 3 (beta, muscle)	E5RI09_HUMAN|ENO3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RI25	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RI25_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RIR4	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	E5RIR4_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RIX5	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RIX5_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RJ37	LYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000011130	IEA	Ensembl:ENSRNOP00000011130	P	V-yes-1 Yamaguchi sarcoma viral-related oncogene homolog	E5RJ37_HUMAN|LYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RJ77	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	PTK2B protein tyrosine kinase 2 beta	E5RJ77_HUMAN|PTK2B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RJI0	LPL		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016543	IEA	Ensembl:ENSRNOP00000016543	P	Lipoprotein lipase	E5RJI0_HUMAN|LPL	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RJX7	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RJX7_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RJY0	PIK3R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060575	IEA	Ensembl:ENSRNOP00000060575	P	Phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	E5RJY0_HUMAN|PIK3R1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RK23	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	FYN oncogene-related to SRC, FGR, YES	E5RK23_HUMAN|FYN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E5RK84	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	PTK2B protein tyrosine kinase 2 beta	E5RK84_HUMAN|PTK2B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EMD0	POR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001961	IEA	Ensembl:ENSRNOP00000001961	P	P450 (cytochrome) oxidoreductase	E7EMD0_HUMAN|POR	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EMR6	TP53		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000104298	IEA	Ensembl:ENSMUSP00000104298	P	Cellular tumor antigen p53	E7EMR6_HUMAN|TP53	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EMS6	COMT		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043148	IEA	Ensembl:ENSRNOP00000043148	P	Catechol-O-methyltransferase	COMT|E7EMS6_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EMT5	CYP1A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026473	IEA	Ensembl:ENSRNOP00000026473	P	Cytochrome P450, family 1, subfamily A, polypeptide 1	CYP1A1|E7EMT5_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7ENV9	ACAN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000042691	IEA	Ensembl:ENSRNOP00000042691	P	Aggrecan	ACAN|E7ENV9_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EPL6	CYP19A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000212	IEA	Ensembl:ENSRNOP00000000212	P	Cytochrome P450, family 19, subfamily A, polypeptide 1	CYP19A1|E7EPL6_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EQ08	CYP19A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000212	IEA	Ensembl:ENSRNOP00000000212	P	Uncharacterized protein	CYP19A1|E7EQ08_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EQF2	CROT		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000063856	IEA	Ensembl:ENSRNOP00000063856	P	Carnitine O-octanoyltransferase	CROT|E7EQF2_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EQI1	ABCB4		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000042556	IEA	Ensembl:ENSRNOP00000042556	P	ATP-binding cassette, sub-family B (MDR/TAP), member 4	ABCB4|E7EQI1_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EQW5	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E7EQW5_HUMAN|ITGB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7ERL0	NME1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003658	IEA	Ensembl:ENSRNOP00000003658	P	Non-metastatic cells 1, protein (NM23A)-expressed in	E7ERL0_HUMAN|NME1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7ERX5	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E7ERX5_HUMAN|ITGB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7ESA7	NOS3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013058	IEA	Ensembl:ENSRNOP00000013058	P	Nitric oxide synthase 3 (endothelial cell)	E7ESA7_HUMAN|NOS3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7ESK7	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	E7ESK7_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7ESS1	TP53		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000104298	IEA	Ensembl:ENSMUSP00000104298	P	Cellular tumor antigen p53	E7ESS1_HUMAN|TP53	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EU07	PPARG		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012137	IEA	Ensembl:ENSRNOP00000012137	P	Peroxisome proliferator-activated receptor gamma	E7EU07_HUMAN|PPARG	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EUC9	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	MutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	E7EUC9_HUMAN|MLH1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EUD1	PPARG		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012137	IEA	Ensembl:ENSRNOP00000012137	P	Peroxisome proliferator-activated receptor gamma	E7EUD1_HUMAN|PPARG	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EUS7	SLC1A3		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000005493	IEA	Ensembl:ENSMUSP00000005493	P	Solute carrier family 1 (glial high affinity glutamate transporter), member 3	E7EUS7_HUMAN|SLC1A3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EUV6	SLC1A3		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000005493	IEA	Ensembl:ENSMUSP00000005493	P	Solute carrier family 1 (glial high affinity glutamate transporter), member 3	E7EUV6_HUMAN|SLC1A3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EVZ2	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	E7EVZ2_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EW14	LPL		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016543	IEA	Ensembl:ENSRNOP00000016543	P	Lipoprotein lipase	E7EW14_HUMAN|LPL	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EWJ3	CPS1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000019021	IEA	Ensembl:ENSRNOP00000019021	P	Carbamoyl-phosphate synthase 1, mitochondrial	CPS1|E7EWJ3_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EWP8	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	CAMP-responsive element-binding protein 1	CREB1|E7EWP8_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EX19	PIK3R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060575	IEA	Ensembl:ENSRNOP00000060575	P	Phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	E7EX19_HUMAN|PIK3R1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E7EX72	P2RX7		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000098303	IEA	Ensembl:ENSMUSP00000098303	P	P2X purinoceptor	E7EX72_HUMAN|P2RX7	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PB98	SLC8A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040751	IEA	Ensembl:ENSRNOP00000040751	P	Solute carrier family 8 (sodium/calcium exchanger), member 1	E9PB98_HUMAN|SLC8A1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PC07	ATP1A3		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000099922	IEA	Ensembl:ENSMUSP00000099922	P	ATPase, Na+/K+-transporting, alpha 3 polypeptide	ATP1A3|E9PC07_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PCG9	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	3-hydroxybutyrate dehydrogenase, type 1	BDH1|E9PCG9_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PCL8	SLC8A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040751	IEA	Ensembl:ENSRNOP00000040751	P	Solute carrier family 8 (sodium/calcium exchanger), member 1	E9PCL8_HUMAN|SLC8A1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PCY9	TP53		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000104298	IEA	Ensembl:ENSMUSP00000104298	P	Tumor protein p53	E9PCY9_HUMAN|TP53	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PD24	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	E9PD24_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PDR1	ERBB4		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000019283	IEA	Ensembl:ENSRNOP00000019283	P	V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	E9PDR1_HUMAN|ERBB4	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PER2	ICAM1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000028066	IEA	Ensembl:ENSRNOP00000028066	P	Uncharacterized protein	E9PER2_HUMAN|ICAM1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PFJ1	PPARG		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012137	IEA	Ensembl:ENSRNOP00000012137	P	Peroxisome proliferator-activated receptor gamma	E9PFJ1_HUMAN|PPARG	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PFT7	APC		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000027691	IEA	Ensembl:ENSRNOP00000027691	P	Adenomatous polyposis coli	APC|E9PFT7_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PG11	ADCYAP1R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016175	IEA	Ensembl:ENSRNOP00000016175	P	Uncharacterized protein	ADCYAP1R1|E9PG11_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PGZ6	CYP19A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000212	IEA	Ensembl:ENSRNOP00000000212	P	Cytochrome P450, family 19, subfamily A, polypeptide 1	CYP19A1|E9PGZ6_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PI38	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	V-rel reticuloendotheliosis viral oncogene homolog A (avian)	E9PI38_HUMAN|RELA	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PJR1	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	V-rel reticuloendotheliosis viral oncogene homolog A (avian)	E9PJR1_HUMAN|RELA	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PJZ9	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	V-rel reticuloendotheliosis viral oncogene homolog A (avian)	E9PJZ9_HUMAN|RELA	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PL33	EI24		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000132270	IEA	Ensembl:ENSMUSP00000132270	P	Etoposide-induced 2.4 mRNA	E9PL33_HUMAN|EI24	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PL59	SMPD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000024224	IEA	Ensembl:ENSRNOP00000024224	P	Sphingomyelin phosphodiesterase 1, acid lysosomal	E9PL59_HUMAN|SMPD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PLR6	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E9PLR6_HUMAN|ITGB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PM05	EI24		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000132270	IEA	Ensembl:ENSMUSP00000132270	P	Etoposide-induced 2.4 mRNA	E9PM05_HUMAN|EI24	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PNK0	KCNJ11		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000028685	IEA	Ensembl:ENSRNOP00000028685	P	Potassium inwardly-rectifying channel, subfamily J, member 11	E9PNK0_HUMAN|KCNJ11	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PPF1	KCNJ11		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000028685	IEA	Ensembl:ENSRNOP00000028685	P	Potassium inwardly-rectifying channel, subfamily J, member 11	E9PPF1_HUMAN|KCNJ11	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PPJ3	SMTNL1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000028471	IEA	Ensembl:ENSMUSP00000028471	P	Smoothelin-like 1	E9PPJ3_HUMAN|SMTNL1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PQH6	RHOC		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000017254	IEA	Ensembl:ENSRNOP00000017254	P	Ras homolog gene family, member C	E9PQH6_HUMAN|RHOC	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PQJ2	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E9PQJ2_HUMAN|ITGB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	E9PRX2	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	V-rel reticuloendotheliosis viral oncogene homolog A (avian)	E9PRX2_HUMAN|RELA	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F2Z298	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	Uncharacterized protein	F2Z298_HUMAN|MLH1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5GX73	MGST1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010579	IEA	Ensembl:ENSRNOP00000010579	P	Microsomal glutathione S-transferase 1	F5GX73_HUMAN|MGST1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5GY90	HMBS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014128	IEA	Ensembl:ENSRNOP00000014128	P	Hydroxymethylbilane synthase	F5GY90_HUMAN|HMBS	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5GYC1	ABCD3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016739	IEA	Ensembl:ENSRNOP00000016739	P	ATP-binding cassette, sub-family D (ALD), member 3	ABCD3|F5GYC1_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5GYK9	INPPL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026867	IEA	Ensembl:ENSRNOP00000026867	P	Inositol polyphosphate phosphatase-like 1	F5GYK9_HUMAN|INPPL1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5GYN1	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Acetoacetyl-CoA synthetase	AACS|F5GYN1_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5GZD4	NPC1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000025279	IEA	Ensembl:ENSMUSP00000025279	P	Niemann-Pick disease, type C1	F5GZD4_HUMAN|NPC1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H0R4	NNMT		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000007789	IEA	Ensembl:ENSRNOP00000007789	P	Uncharacterized protein	F5H0R4_HUMAN|NNMT	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H188	SLC8A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040751	IEA	Ensembl:ENSRNOP00000040751	P	Solute carrier family 8 (sodium/calcium exchanger), member 1	F5H188_HUMAN|SLC8A1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H1C3	ENO2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005601	IEA	Ensembl:ENSRNOP00000005601	P	Enolase 2 (gamma, neuronal)	ENO2|F5H1C3_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H1T4	ERBB2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040591	IEA	Ensembl:ENSRNOP00000040591	P	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma-derived oncogene homolog (avian)	ERBB2|F5H1T4_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H210	GRK1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000024999	IEA	Ensembl:ENSRNOP00000024999	P	G protein-coupled receptor kinase 1	F5H210_HUMAN|GRK1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H3C5	SOD2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025794	IEA	Ensembl:ENSRNOP00000025794	P	Superoxide dismutase 2, mitochondrial	F5H3C5_HUMAN|SOD2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H3D8	INPPL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026867	IEA	Ensembl:ENSRNOP00000026867	P	Inositol polyphosphate phosphatase-like 1	F5H3D8_HUMAN|INPPL1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H3E3	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Acetoacetyl-CoA synthetase	AACS|F5H3E3_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H4V2	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Acetoacetyl-CoA synthetase	AACS|F5H4V2_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	F5H588	INPPL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026867	IEA	Ensembl:ENSRNOP00000026867	P	Inositol polyphosphate phosphatase-like 1	F5H588_HUMAN|INPPL1	protein	taxon:9606	20120317	ENSEMBL
