UniProtKB	Q14728	MFSD10		GO:0015904	PMID:8353488	TAS		P	Major facilitator superfamily domain-containing protein 10	IPI00103940|MFS10_HUMAN|MFSD10|Q07706|TETRAN	protein	taxon:9606	20120107	GOC
UniProtKB	E5RFS5	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RFS5_HUMAN|FYN|IPI00980724	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RG95	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Uncharacterized protein	E5RG95_HUMAN|ENO3|IPI00980411	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGE1	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	E5RGE1_HUMAN|IPI00983256|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGF0	GGH		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000009758	IEA	Ensembl:ENSRNOP00000009758	P	Uncharacterized protein	E5RGF0_HUMAN|GGH|IPI00984031	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGI8	PIK3R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060575	IEA	Ensembl:ENSRNOP00000060575	P	Uncharacterized protein	E5RGI8_HUMAN|IPI00984521|PIK3R1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGM6	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RGM6_HUMAN|FYN|IPI00977646	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGN7	NBN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012377	IEA	Ensembl:ENSRNOP00000012377	P	Uncharacterized protein	E5RGN7_HUMAN|IPI00978422|NBN	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGR7	NBN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012377	IEA	Ensembl:ENSRNOP00000012377	P	Uncharacterized protein	E5RGR7_HUMAN|IPI01012909|NBN	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGT0	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RGT0_HUMAN|FYN|IPI00978962	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGW5	IKBKB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025851	IEA	Ensembl:ENSRNOP00000025851	P	Uncharacterized protein	E5RGW5_HUMAN|IKBKB|IPI00656051	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RGZ4	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Enolase	E5RGZ4_HUMAN|ENO3|IPI00976385	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RH71	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RH71_HUMAN|FYN|IPI00975816	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RHF7	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RHF7_HUMAN|FYN|IPI00976632	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RHI0	PIK3R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060575	IEA	Ensembl:ENSRNOP00000060575	P	Uncharacterized protein	E5RHI0_HUMAN|IPI00983629|PIK3R1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RHL2	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	Uncharacterized protein	E5RHL2_HUMAN|IPI01010221|PTK2B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RHN7	LPL		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016543	IEA	Ensembl:ENSRNOP00000016543	P	Uncharacterized protein	E5RHN7_HUMAN|IPI00984529|LPL	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RHN9	RAD54B		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000066977	IEA	Ensembl:ENSMUSP00000066977	P	Uncharacterized protein	E5RHN9_HUMAN|IPI00981780|RAD54B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RHX7	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RHX7_HUMAN|FYN|IPI00984877	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RI09	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Uncharacterized protein	E5RI09_HUMAN|ENO3|IPI00981903	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RI25	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RI25_HUMAN|FYN|IPI00977053	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RIR4	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	E5RIR4_HUMAN|IPI01010931|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RIX5	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RIX5_HUMAN|FYN|IPI00979454	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RJ37	LYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000011130	IEA	Ensembl:ENSRNOP00000011130	P	Uncharacterized protein	E5RJ37_HUMAN|IPI00984984|LYN	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RJ77	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	Uncharacterized protein	E5RJ77_HUMAN|IPI01009861|PTK2B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RJI0	LPL		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016543	IEA	Ensembl:ENSRNOP00000016543	P	Uncharacterized protein	E5RJI0_HUMAN|IPI00981202|LPL	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RJX7	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RJX7_HUMAN|FYN|IPI00979979	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RJY0	PIK3R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060575	IEA	Ensembl:ENSRNOP00000060575	P	Uncharacterized protein	E5RJY0_HUMAN|IPI00984326|PIK3R1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RK23	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RK23_HUMAN|FYN|IPI00980116	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RK84	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	Uncharacterized protein	E5RK84_HUMAN|IPI00976504|PTK2B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EMD0	POR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001961	IEA	Ensembl:ENSRNOP00000001961	P	Uncharacterized protein	E7EMD0_HUMAN|IPI00973067|POR	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EMR6	TP53		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000104298	IEA	Ensembl:ENSMUSP00000104298	P	Cellular tumor antigen p53	E7EMR6_HUMAN|IPI00902894|TP53	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EMS6	COMT		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043148	IEA	Ensembl:ENSRNOP00000043148	P	Uncharacterized protein	COMT|E7EMS6_HUMAN|IPI00878254	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EPL6	CYP19A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000212	IEA	Ensembl:ENSRNOP00000000212	P	Uncharacterized protein	CYP19A1|E7EPL6_HUMAN|IPI00878332	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EQ08	CYP19A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000212	IEA	Ensembl:ENSRNOP00000000212	P	Uncharacterized protein	CYP19A1|E7EQ08_HUMAN|IPI00879236	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EQF2	CROT		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000063856	IEA	Ensembl:ENSRNOP00000063856	P	Uncharacterized protein	CROT|E7EQF2_HUMAN|IPI00921172	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EQI1	ABCB4		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000042556	IEA	Ensembl:ENSRNOP00000042556	P	Uncharacterized protein	ABCB4|E7EQI1_HUMAN|IPI00001430	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EQW5	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E7EQW5_HUMAN|IPI00945878|ITGB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7ERL0	NME1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003658	IEA	Ensembl:ENSRNOP00000003658	P	Uncharacterized protein	E7ERL0_HUMAN|IPI01014620|NME1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7ERX5	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E7ERX5_HUMAN|IPI00947385|ITGB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7ESA7	NOS3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013058	IEA	Ensembl:ENSRNOP00000013058	P	Uncharacterized protein	E7ESA7_HUMAN|IPI00946061|NOS3	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7ESK7	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	E7ESK7_HUMAN|IPI01011530|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7ESS1	TP53		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000104298	IEA	Ensembl:ENSMUSP00000104298	P	Cellular tumor antigen p53	E7ESS1_HUMAN|IPI00796188|TP53	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EU07	PPARG		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012137	IEA	Ensembl:ENSRNOP00000012137	P	Uncharacterized protein	E7EU07_HUMAN|IPI00924841|PPARG	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EUC9	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	Uncharacterized protein	E7EUC9_HUMAN|IPI01008784|MLH1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EUD1	PPARG		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012137	IEA	Ensembl:ENSRNOP00000012137	P	Uncharacterized protein	E7EUD1_HUMAN|IPI00925290|PPARG	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EUS7	SLC1A3		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000005493	IEA	Ensembl:ENSMUSP00000005493	P	Uncharacterized protein	E7EUS7_HUMAN|IPI00963997|SLC1A3	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EUV6	SLC1A3		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000005493	IEA	Ensembl:ENSMUSP00000005493	P	Uncharacterized protein	E7EUV6_HUMAN|IPI00642894|SLC1A3	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EVZ2	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	E7EVZ2_HUMAN|IPI00793388|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EW14	LPL		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016543	IEA	Ensembl:ENSRNOP00000016543	P	Uncharacterized protein	E7EW14_HUMAN|IPI00972962|LPL	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EWJ3	CPS1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000019021	IEA	Ensembl:ENSRNOP00000019021	P	Uncharacterized protein	CPS1|E7EWJ3_HUMAN|IPI00926199	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EWP8	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	Uncharacterized protein	CREB1|E7EWP8_HUMAN|IPI00927413	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EX19	PIK3R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060575	IEA	Ensembl:ENSRNOP00000060575	P	Uncharacterized protein	E7EX19_HUMAN|IPI00983869|PIK3R1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EX72	P2RX7		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000098303	IEA	Ensembl:ENSMUSP00000098303	P	P2X purinoceptor	E7EX72_HUMAN|IPI00654863|P2RX7	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E7EX88	ACAN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000042691	IEA	Ensembl:ENSRNOP00000042691	P	Uncharacterized protein	ACAN|E7EX88_HUMAN|IPI00027377	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PB98	SLC8A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040751	IEA	Ensembl:ENSRNOP00000040751	P	Uncharacterized protein	E9PB98_HUMAN|IPI00893573|SLC8A1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PC07	ATP1A3		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000099922	IEA	Ensembl:ENSMUSP00000099922	P	Uncharacterized protein	ATP1A3|E9PC07_HUMAN|IPI00647099	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PCG9	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	Uncharacterized protein	BDH1|E9PCG9_HUMAN|IPI00925346	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PCL8	SLC8A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040751	IEA	Ensembl:ENSRNOP00000040751	P	Uncharacterized protein	E9PCL8_HUMAN|IPI00893722|SLC8A1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PCY9	TP53		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000104298	IEA	Ensembl:ENSMUSP00000104298	P	Uncharacterized protein	E9PCY9_HUMAN|IPI00967077|TP53	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PD24	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	E9PD24_HUMAN|IPI00790689|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PDR1	ERBB4		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000019283	IEA	Ensembl:ENSRNOP00000019283	P	Uncharacterized protein	E9PDR1_HUMAN|ERBB4|IPI00927238	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PER2	ICAM1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000028066	IEA	Ensembl:ENSRNOP00000028066	P	Uncharacterized protein	E9PER2_HUMAN|ICAM1|IPI00910734	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PFJ1	PPARG		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012137	IEA	Ensembl:ENSRNOP00000012137	P	Uncharacterized protein	E9PFJ1_HUMAN|IPI00852773|PPARG	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PFT7	APC		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000027691	IEA	Ensembl:ENSRNOP00000027691	P	Uncharacterized protein	APC|E9PFT7_HUMAN|IPI00967116	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PG11	ADCYAP1R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016175	IEA	Ensembl:ENSRNOP00000016175	P	Uncharacterized protein	ADCYAP1R1|E9PG11_HUMAN|IPI00434023	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PGZ6	CYP19A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000212	IEA	Ensembl:ENSRNOP00000000212	P	Uncharacterized protein	CYP19A1|E9PGZ6_HUMAN|IPI00878829	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PI38	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	Uncharacterized protein	E9PI38_HUMAN|IPI00219084|RELA	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PJR1	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	Uncharacterized protein	E9PJR1_HUMAN|IPI00978687|RELA	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PJZ9	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	Uncharacterized protein	E9PJZ9_HUMAN|IPI00985132|RELA	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PL33	EI24		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000132270	IEA	Ensembl:ENSMUSP00000132270	P	Uncharacterized protein	E9PL33_HUMAN|EI24|IPI00872497	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PL59	SMPD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000024224	IEA	Ensembl:ENSRNOP00000024224	P	Uncharacterized protein	E9PL59_HUMAN|IPI00978061|SMPD1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PLR6	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E9PLR6_HUMAN|IPI01013133|ITGB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PM05	EI24		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000132270	IEA	Ensembl:ENSMUSP00000132270	P	Uncharacterized protein	E9PM05_HUMAN|EI24|IPI00478368	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PNK0	KCNJ11		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000028685	IEA	Ensembl:ENSRNOP00000028685	P	Uncharacterized protein	E9PNK0_HUMAN|IPI00953564|KCNJ11	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PPF1	KCNJ11		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000028685	IEA	Ensembl:ENSRNOP00000028685	P	Uncharacterized protein	E9PPF1_HUMAN|IPI00980434|KCNJ11	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PPJ3	SMTNL1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000028471	IEA	Ensembl:ENSMUSP00000028471	P	Uncharacterized protein	E9PPJ3_HUMAN|IPI00940640|SMTNL1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PQH6	RHOC		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000017254	IEA	Ensembl:ENSRNOP00000017254	P	Uncharacterized protein	E9PQH6_HUMAN|IPI01009702|RHOC	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PQJ2	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	E9PQJ2_HUMAN|IPI01015358|ITGB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PRX2	RELA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000044552	IEA	Ensembl:ENSRNOP00000044552	P	Uncharacterized protein	E9PRX2_HUMAN|IPI00976323|RELA	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F2Z298	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	Uncharacterized protein	F2Z298_HUMAN|IPI00795011|MLH1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5GX73	MGST1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010579	IEA	Ensembl:ENSRNOP00000010579	P	Uncharacterized protein	F5GX73_HUMAN|IPI01011894|MGST1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5GY90	HMBS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014128	IEA	Ensembl:ENSRNOP00000014128	P	Uncharacterized protein	F5GY90_HUMAN|HMBS|IPI01010744	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5GYC1	ABCD3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016739	IEA	Ensembl:ENSRNOP00000016739	P	Uncharacterized protein	ABCD3|F5GYC1_HUMAN|IPI01015425	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5GYK9	INPPL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026867	IEA	Ensembl:ENSRNOP00000026867	P	Uncharacterized protein	F5GYK9_HUMAN|INPPL1|IPI01012176	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5GYN1	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Uncharacterized protein	AACS|F5GYN1_HUMAN|IPI01011608	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H0R4	NNMT		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000007789	IEA	Ensembl:ENSRNOP00000007789	P	Uncharacterized protein	F5H0R4_HUMAN|IPI01013188|NNMT	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H188	SLC8A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040751	IEA	Ensembl:ENSRNOP00000040751	P	Uncharacterized protein	F5H188_HUMAN|IPI00893722|SLC8A1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H1C3	ENO2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005601	IEA	Ensembl:ENSRNOP00000005601	P	Uncharacterized protein	ENO2|F5H1C3_HUMAN|IPI01013948	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H1T4	ERBB2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000040591	IEA	Ensembl:ENSRNOP00000040591	P	Uncharacterized protein	ERBB2|F5H1T4_HUMAN|IPI01009701	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H210	GRK1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000024999	IEA	Ensembl:ENSRNOP00000024999	P	Uncharacterized protein	F5H210_HUMAN|GRK1|IPI01012184	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H3C5	SOD2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025794	IEA	Ensembl:ENSRNOP00000025794	P	Uncharacterized protein	F5H3C5_HUMAN|IPI01015974|SOD2	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H3D8	INPPL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026867	IEA	Ensembl:ENSRNOP00000026867	P	Uncharacterized protein	F5H3D8_HUMAN|INPPL1|IPI01011735	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H3E3	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Uncharacterized protein	AACS|F5H3E3_HUMAN|IPI01013178	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H4V2	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Uncharacterized protein	AACS|F5H4V2_HUMAN|IPI00334184	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H588	INPPL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000026867	IEA	Ensembl:ENSRNOP00000026867	P	Uncharacterized protein	F5H588_HUMAN|INPPL1|IPI01015539	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H694	CYP2E1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016883	IEA	Ensembl:ENSRNOP00000016883	P	Uncharacterized protein	CYP2E1|F5H694_HUMAN|IPI01009826	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H6X2	MGST1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010579	IEA	Ensembl:ENSRNOP00000010579	P	Uncharacterized protein	F5H6X2_HUMAN|IPI01014188|MGST1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H6X9	AACS		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001292	IEA	Ensembl:ENSRNOP00000001292	P	Uncharacterized protein	AACS|F5H6X9_HUMAN|IPI01012758	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5H7F6	MGST1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010579	IEA	Ensembl:ENSRNOP00000010579	P	Uncharacterized protein	F5H7F6_HUMAN|IPI01014744|MGST1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F8VRL0	ERBB3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006796	IEA	Ensembl:ENSRNOP00000006796	P	Uncharacterized protein	ERBB3|F8VRL0_HUMAN	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F8VS99	DDIT3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000008941	IEA	Ensembl:ENSRNOP00000008941	P	Uncharacterized protein	DDIT3|F8VS99_HUMAN	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F8VUY0	TGIF1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021534	IEA	Ensembl:ENSRNOP00000021534	P	Uncharacterized protein	F8VUY0_HUMAN|TGIF1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F8VVS9	TGIF1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021534	IEA	Ensembl:ENSRNOP00000021534	P	Uncharacterized protein	F8VVS9_HUMAN|TGIF1	protein	taxon:9606	20120107	ENSEMBL
